ID,Nombre,Dirección,Descripción,Puntuación,Usuarios que puntuaron,Ciudad,Departamento,Teléfono,Sitio Web,Búsqueda,Categoría
550ee57d-2c0b-4c85-a5b5-c3dd54c4c8e9,quesos del valle,"entre calle carrera 19, Cl. 137 #18A-49",Quesería,"4,1",(87),Usaquén,Bogotá,322 2232674,N/A,"Lacteos, Bogotá, Usaquén",Otros
e86b3eda-1cce-40c0-b4f0-3727826ffa0e,Distribuidora de Lacteos R.A.,304 5288805,Supermercado,"4,9",(7),Chapinero,Bogotá,304 5288805,N/A,"Lacteos, Bogotá, Chapinero",Otros
84bb9587-a0f9-4237-9222-823fa294c5c1,PlanetaRica,317 3651606,Quesería,"4,8",(94),Chapinero,Bogotá,317 3651606,N/A,"Lacteos, Bogotá, Chapinero",Otros
0943739e-2694-4a72-b414-2b72e397097c,lacteos la 51,12114228,Quesería,"4,7",(3),Chapinero,Bogotá,12114228,N/A,"Lacteos, Bogotá, Chapinero",Otros
74b9c5b8-1933-460c-8f12-8d12e1325eb2,Punto Lacteo Quesos y Amasijos,(601) 3157993,Panadería,"4,3",(61),Chapinero,Bogotá,(601) 3157993,N/A,"Lacteos, Bogotá, Chapinero",Otros
c86ec545-7698-43c5-bf17-ce295b618d25,Lácteos Los Ángeles,310 5754824,Quesería,"4,3",(48),Chapinero,Bogotá,310 5754824,N/A,"Lacteos, Bogotá, Chapinero",Lácteos
8a2cf0c9-4ea3-49c7-9767-9a4d3ea42ccc,Salsamentaria Santa Elena,350 7748995,Quesería,"5,0",(1),Chapinero,Bogotá,350 7748995,N/A,"Lacteos, Bogotá, Chapinero",Otros
834f5a61-f35a-4e85-80f2-8884ef2cc2cd,Lacteos Dandini,12218818,Quesería,"4,5",(2),Chapinero,Bogotá,12218818,N/A,"Lacteos, Bogotá, Chapinero",Otros
947c1f0a-6827-43dd-ae90-dc9ac4886770,Cava De Quesos,300 5662763,Quesería,"4,3",(48),Chapinero,Bogotá,300 5662763,N/A,"Lacteos, Bogotá, Chapinero",Otros
c2ad2de1-849c-4644-8224-2c2b38055c86,Milac Lácteos de Calidad,(601) 5367719,Quesería,"4,2",(31),Suba,Bogotá,(601) 5367719,N/A,"Lacteos, Bogotá, Suba",Lácteos
eb5f8914-7402-4b97-9558-0ece6259f4e2,Distribuidora de Lacteos San Mateo,Cierra pronto ⋅ 8 p. m. ⋅ Abre a las 8 a. m. del mié,N/A,"4,3",(3),Suba,Bogotá,N/A,N/A,"Lacteos, Bogotá, Suba",Otros
